KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.6136, inf, 0.1234, 3.7558, 0.5001, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1235, 3.7568, 0.4996, 0.0000, 0.9696, 0.0000, 0.0531, -3.8055, 0.2410, 3.3697, 12.0097, -0.8133
4.6136, inf, 0.1235, 3.7587, 0.4998, 0.0000, 0.9706, 0.0000, 0.0531, -3.8074, 0.2410, 3.3681, 12.0097, -0.8124
4.6136, inf, 0.1235, 3.7558, 0.5002, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1233, 3.7568, 0.5005, 0.0000, 0.9696, 0.0000, 0.0531, -3.8055, 0.2410, 3.3697, 12.0097, -0.8133
4.6136, inf, 0.1234, 3.7529, 0.5001, 0.0000, 0.9677, 0.0000, 0.0531, -3.8016, 0.2410, 3.3729, 12.0097, -0.8152
4.6136, inf, 0.1235, 3.7568, 0.5000, 0.0000, 0.9696, 0.0000, 0.0531, -3.8055, 0.2410, 3.3697, 12.0097, -0.8133
4.6136, inf, 0.1235, 3.7548, 0.5010, 0.0000, 0.9687, 0.0000, 0.0531, -3.8035, 0.2410, 3.3713, 12.0097, -0.8143
4.6136, inf, 0.1235, 3.7548, 0.5004, 0.0000, 0.9687, 0.0000, 0.0531, -3.8035, 0.2410, 3.3713, 12.0097, -0.8143
4.6136, inf, 0.1235, 3.7548, 0.5005, 0.0000, 0.9687, 0.0000, 0.0531, -3.8035, 0.2410, 3.3713, 12.0097, -0.8143
4.6136, inf, 0.1234, 3.7578, 0.5008, 0.0000, 0.9701, 0.0000, 0.0531, -3.8064, 0.2410, 3.3689, 12.0097, -0.8129
4.6136, inf, 0.1235, 3.7558, 0.5008, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1233, 3.7558, 0.5003, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1234, 3.7548, 0.4995, 0.0000, 0.9687, 0.0000, 0.0531, -3.8035, 0.2410, 3.3713, 12.0097, -0.8143
4.6136, inf, 0.1235, 3.7558, 0.5002, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1234, 3.7548, 0.4994, 0.0000, 0.9687, 0.0000, 0.0531, -3.8035, 0.2410, 3.3713, 12.0097, -0.8143
4.6136, inf, 0.1235, 3.7558, 0.5005, 0.0000, 0.9692, 0.0000, 0.0531, -3.8045, 0.2410, 3.3705, 12.0097, -0.8138
4.6136, inf, 0.1234, 3.7539, 0.5007, 0.0000, 0.9682, 0.0000, 0.0531, -3.8025, 0.2410, 3.3721, 12.0097, -0.8147
4.6136, inf, 0.1234, 3.7568, 0.5000, 0.0000, 0.9696, 0.0000, 0.0531, -3.8055, 0.2410, 3.3697, 12.0097, -0.8133
4.6136, inf, 0.1236, 3.7568, 0.5009, 0.0000, 0.9696, 0.0000, 0.0531, -3.8055, 0.2410, 3.3697, 12.0097, -0.8133
