KL Weights,KL Biases,EMD Weights,EMD Biases,KS Weights Statistic,KS Weights P-value,KS Biases Statistic,KS Biases P-value,Mean Weights,Mean Biases,Std Weights,Std Biases,Kurtosis Weights,Kurtosis Biases
inf,inf,0.777866903044473,0.7621305519367874,0.507,2.3731348927723294e-117,0.499,1.65134576941857e-113,0.0008322752214585243,-0.7201261753663262,0.026318853399299964,0.8347283284815171,995.0010010009998,1.6523621332546359
inf,inf,0.8094620161684667,0.7540590391981581,0.501,1.837273440992013e-114,0.511,2.667350123988135e-119,-0.0019212281869752576,-0.7238650144078467,0.060754569757576794,0.8406756796992408,995.0010010010006,3.8964291083092473
inf,inf,0.7613210367457941,0.7034829377033364,0.505,2.2025638207223236e-116,0.515,2.8710761438357397e-121,0.0,-0.6646791505651397,0.0,0.788395980446372,,2.3780964588853273
inf,inf,0.8188589283083347,0.7265812312126252,0.518,9.324432038614757e-123,0.479,3.178500719236986e-104,0.001768585785663122,-0.6937834488219993,0.05592759320093758,0.8546076987510188,995.001001001002,4.044833506128385
inf,inf,0.8233945483022008,0.6848014231152101,0.502,6.103857836584651e-115,0.492,3.306287771791326e-110,3.027827382438297e-05,-0.7064930243588949,0.0009574830890330832,0.8356071726227128,995.0010010010008,2.5630363526178783
inf,inf,0.782542376660589,0.6981935989474115,0.503,2.0224359298863315e-115,0.508,7.758325610986461e-118,-1.9753504602704196e-08,-0.6728441057849959,6.246606631516385e-07,0.8019068130082805,995.0010010010013,3.1203874082037952
inf,inf,0.8144620818990885,0.7157254965877802,0.507,2.3731348927723294e-117,0.496,4.361853008614382e-112,0.0008539063232813821,-0.6810957764483937,0.027002888899891785,0.8336919401047408,995.0010010010019,3.173787813620331
inf,inf,0.7972896750890468,0.6737027158593842,0.508,7.758325610986461e-118,0.523,2.918596237847823e-125,-4.6284887503134084e-08,-0.6364878389566289,1.4636566575457224e-06,0.763361050578117,995.0010010009994,2.3597664117385806
inf,inf,0.7864135675389843,0.6594663352692922,0.503,2.0224359298863315e-115,0.482,1.3758331243978358e-105,0.0,-0.6805171627607385,0.0,0.7631432631155212,,1.833265499873959
inf,inf,0.7768691817635334,0.724400212233772,0.5,5.515494869858024e-114,0.506,7.2395025979917e-117,0.001036442014985586,-0.6977725060802791,0.032784718961353286,0.8276983281164271,995.0008322128974,2.599326324525747
