KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.0893, inf, 0.0951, 0.0308, 0.4989, 0.0000, 0.2075, 0.0000, 0.0010, -0.0791, 0.0148, 0.1036, 327.4297, 6.0133
4.0853, inf, 0.0952, 0.0305, 0.4979, 0.0000, 0.2074, 0.0000, 0.0010, -0.0777, 0.0150, 0.1020, 382.9904, 5.4886
4.0830, inf, 0.0952, 0.0303, 0.4979, 0.0000, 0.2089, 0.0000, 0.0010, -0.0779, 0.0149, 0.1027, 660.5191, 7.1925
4.0897, inf, 0.0952, 0.0308, 0.4984, 0.0000, 0.2082, 0.0000, 0.0011, -0.0798, 0.0153, 0.1041, 379.0001, 4.9778
4.0863, inf, 0.0954, 0.0304, 0.4964, 0.0000, 0.2079, 0.0000, 0.0010, -0.0784, 0.0150, 0.1039, 712.4699, 9.7116
4.0880, inf, 0.0951, 0.0312, 0.4990, 0.0000, 0.2086, 0.0000, 0.0010, -0.0802, 0.0151, 0.1056, 444.2416, 6.8181
4.0902, inf, 0.0950, 0.0314, 0.4982, 0.0000, 0.2094, 0.0000, 0.0010, -0.0795, 0.0151, 0.1046, 477.5032, 5.1569
4.0915, inf, 0.0951, 0.0304, 0.4987, 0.0000, 0.2075, 0.0000, 0.0010, -0.0784, 0.0148, 0.1018, 461.8114, 3.8754
4.0830, inf, 0.0953, 0.0305, 0.4974, 0.0000, 0.2089, 0.0000, 0.0010, -0.0774, 0.0146, 0.1024, 296.5591, 4.4359
4.0846, inf, 0.0952, 0.0308, 0.4981, 0.0000, 0.2085, 0.0000, 0.0010, -0.0784, 0.0152, 0.1047, 857.7715, 16.0856
4.0859, inf, 0.0951, 0.0303, 0.4976, 0.0000, 0.2076, 0.0000, 0.0010, -0.0781, 0.0151, 0.1054, 1218.8299, 43.1153
4.0895, inf, 0.0953, 0.0310, 0.4978, 0.0000, 0.2081, 0.0000, 0.0010, -0.0789, 0.0149, 0.1027, 330.4453, 4.3638
4.0908, inf, 0.0951, 0.0311, 0.4970, 0.0000, 0.2087, 0.0000, 0.0010, -0.0785, 0.0150, 0.1033, 830.4329, 5.2481
4.0839, inf, 0.0952, 0.0308, 0.4976, 0.0000, 0.2088, 0.0000, 0.0010, -0.0784, 0.0149, 0.1056, 557.7324, 14.3105
4.0910, inf, 0.0952, 0.0313, 0.4980, 0.0000, 0.2089, 0.0000, 0.0011, -0.0798, 0.0150, 0.1060, 389.6002, 8.1924
4.0866, inf, 0.0952, 0.0306, 0.4978, 0.0000, 0.2084, 0.0000, 0.0010, -0.0790, 0.0150, 0.1062, 493.5451, 10.6009
4.0875, inf, 0.0951, 0.0306, 0.4988, 0.0000, 0.2076, 0.0000, 0.0010, -0.0772, 0.0149, 0.1010, 522.7358, 6.1224
4.0893, inf, 0.0951, 0.0297, 0.4976, 0.0000, 0.2087, 0.0000, 0.0010, -0.0789, 0.0149, 0.1035, 346.3101, 6.5415
4.0854, inf, 0.0953, 0.0300, 0.4978, 0.0000, 0.2088, 0.0000, 0.0010, -0.0787, 0.0147, 0.1029, 313.3773, 6.0111
4.0963, inf, 0.0952, 0.0309, 0.4991, 0.0000, 0.2093, 0.0000, 0.0011, -0.0796, 0.0152, 0.1054, 402.3399, 7.4114
