KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
inf, inf, 0.0928, 0.2833, 0.4970, 0.0000, 0.2770, 0.0000, 0.0046, -0.3501, 0.0694, 1.5990, 2680.1969, 342.1869
3.8293, inf, 0.0912, 0.2521, 0.4967, 0.0000, 0.3088, 0.0000, 0.0045, -0.3189, 0.0295, 0.5187, 137.2517, 26.6148
3.8256, inf, 0.0914, 0.2665, 0.4976, 0.0000, 0.3212, 0.0000, 0.0045, -0.3332, 0.0276, 0.4962, 56.0644, 9.8717
3.8174, inf, 0.0912, 0.2781, 0.4967, 0.0000, 0.3181, 0.0000, 0.0049, -0.3449, 0.0305, 0.5356, 55.2633, 8.6732
3.8257, inf, 0.0913, 0.2694, 0.4970, 0.0000, 0.3221, 0.0000, 0.0047, -0.3362, 0.0293, 0.5072, 61.6741, 9.7554
3.8308, inf, 0.0922, 0.1937, 0.4975, 0.0000, 0.2481, 0.0000, 0.0037, -0.2605, 0.0249, 0.4312, 100.9765, 19.5297
3.8281, inf, 0.0916, 0.2390, 0.4973, 0.0000, 0.3009, 0.0000, 0.0043, -0.3058, 0.0265, 0.4570, 69.2324, 9.5923
3.8258, inf, 0.0919, 0.2250, 0.4963, 0.0000, 0.2698, 0.0000, 0.0042, -0.2917, 0.0272, 0.4818, 68.2947, 12.7955
3.8154, inf, 0.0916, 0.2467, 0.4959, 0.0000, 0.3053, 0.0000, 0.0043, -0.3134, 0.0258, 0.4625, 55.3359, 7.8518
3.8384, inf, 0.0912, 0.2529, 0.4970, 0.0000, 0.3115, 0.0000, 0.0046, -0.3197, 0.0285, 0.4810, 56.5645, 8.0676
3.8296, inf, 0.0907, 0.2783, 0.4965, 0.0000, 0.3247, 0.0000, 0.0052, -0.3451, 0.0319, 0.5312, 59.1652, 10.8132
3.8363, inf, 0.0922, 0.1993, 0.4974, 0.0000, 0.2820, 0.0000, 0.0038, -0.2660, 0.0240, 0.3944, 77.7712, 10.3850
3.8186, inf, 0.0913, 0.2353, 0.4962, 0.0000, 0.3005, 0.0000, 0.0044, -0.3021, 0.0293, 0.4940, 143.1589, 33.4738
3.8241, inf, 0.0912, 0.2576, 0.4965, 0.0000, 0.3118, 0.0000, 0.0046, -0.3244, 0.0273, 0.4662, 48.6472, 6.6777
3.8257, inf, 0.0920, 0.2106, 0.4962, 0.0000, 0.2936, 0.0000, 0.0040, -0.2774, 0.0242, 0.3985, 99.1730, 8.9392
3.8330, inf, 0.0916, 0.2401, 0.4970, 0.0000, 0.2886, 0.0000, 0.0045, -0.3069, 0.0313, 0.5492, 212.7587, 51.4985
3.8261, inf, 0.0911, 0.2618, 0.4969, 0.0000, 0.3229, 0.0000, 0.0048, -0.3286, 0.0288, 0.4850, 61.9460, 10.8545
3.8261, inf, 0.0905, 0.2779, 0.4977, 0.0000, 0.3103, 0.0000, 0.0051, -0.3447, 0.0321, 0.5572, 71.5442, 12.6321
3.8281, inf, 0.0910, 0.2689, 0.4965, 0.0000, 0.3167, 0.0000, 0.0048, -0.3356, 0.0297, 0.5162, 59.8389, 8.9322
3.8432, inf, 0.0908, 0.2811, 0.4981, 0.0000, 0.3134, 0.0000, 0.0050, -0.3479, 0.0319, 0.5555, 58.0508, 9.1118
3.8194, inf, 0.0919, 0.2308, 0.4954, 0.0000, 0.2927, 0.0000, 0.0041, -0.2976, 0.0258, 0.4391, 68.8460, 6.8722
3.8336, inf, 0.0921, 0.2277, 0.4972, 0.0000, 0.2798, 0.0000, 0.0043, -0.2945, 0.0360, 0.6493, 602.9587, 149.2348
3.8336, inf, 0.0914, 0.2383, 0.4967, 0.0000, 0.3008, 0.0000, 0.0045, -0.3051, 0.0276, 0.4690, 71.0248, 12.6476
