KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.7152, inf, 0.0453, 0.0380, 0.4934, 0.0000, 0.4653, 0.0000, 0.0005, -0.0379, 0.0077, 0.0543, 408.5222, 7.2398
4.7128, 0.7885, 0.0453, 0.0371, 0.4928, 0.0000, 0.4659, 0.0000, 0.0005, -0.0370, 0.0076, 0.0536, 453.1674, 6.3262
4.7147, inf, 0.0453, 0.0375, 0.4932, 0.0000, 0.4656, 0.0000, 0.0005, -0.0374, 0.0077, 0.0540, 461.8775, 7.2972
4.7132, 0.7828, 0.0453, 0.0374, 0.4929, 0.0000, 0.4664, 0.0000, 0.0005, -0.0373, 0.0077, 0.0528, 398.6851, 5.8216
4.7146, inf, 0.0453, 0.0374, 0.4928, 0.0000, 0.4654, 0.0000, 0.0005, -0.0374, 0.0077, 0.0537, 434.1383, 7.2866
4.7140, inf, 0.0453, 0.0375, 0.4931, 0.0000, 0.4657, 0.0000, 0.0005, -0.0375, 0.0077, 0.0542, 435.5196, 7.1351
4.7150, 0.7806, 0.0453, 0.0377, 0.4934, 0.0000, 0.4661, 0.0000, 0.0005, -0.0377, 0.0077, 0.0539, 413.4756, 7.1412
4.7153, inf, 0.0453, 0.0372, 0.4932, 0.0000, 0.4649, 0.0000, 0.0005, -0.0371, 0.0077, 0.0534, 472.4764, 6.4340
4.7142, 0.7825, 0.0453, 0.0372, 0.4935, 0.0000, 0.4644, 0.0000, 0.0005, -0.0372, 0.0076, 0.0531, 414.2303, 6.7992
4.7194, inf, 0.0453, 0.0373, 0.4932, 0.0000, 0.4655, 0.0000, 0.0005, -0.0372, 0.0076, 0.0523, 430.6722, 7.0370
4.7164, inf, 0.0453, 0.0375, 0.4931, 0.0000, 0.4657, 0.0000, 0.0005, -0.0375, 0.0077, 0.0537, 440.9529, 7.0987
4.7126, 0.7932, 0.0453, 0.0381, 0.4923, 0.0000, 0.4668, 0.0000, 0.0005, -0.0381, 0.0077, 0.0538, 420.3804, 6.0796
4.7171, inf, 0.0453, 0.0373, 0.4937, 0.0000, 0.4660, 0.0000, 0.0005, -0.0373, 0.0077, 0.0527, 430.1321, 7.2991
4.7141, inf, 0.0453, 0.0375, 0.4924, 0.0000, 0.4651, 0.0000, 0.0005, -0.0374, 0.0077, 0.0541, 416.3504, 6.8310
4.7150, inf, 0.0453, 0.0377, 0.4931, 0.0000, 0.4648, 0.0000, 0.0005, -0.0376, 0.0076, 0.0525, 379.9234, 5.3601
4.7146, inf, 0.0453, 0.0372, 0.4930, 0.0000, 0.4670, 0.0000, 0.0005, -0.0372, 0.0076, 0.0528, 440.2911, 6.7925
4.7163, inf, 0.0453, 0.0377, 0.4925, 0.0000, 0.4658, 0.0000, 0.0005, -0.0376, 0.0076, 0.0534, 367.3594, 6.1918
4.7125, inf, 0.0453, 0.0376, 0.4925, 0.0000, 0.4658, 0.0000, 0.0005, -0.0375, 0.0076, 0.0545, 407.5531, 7.5873
4.7122, inf, 0.0453, 0.0374, 0.4927, 0.0000, 0.4640, 0.0000, 0.0005, -0.0374, 0.0078, 0.0539, 409.4099, 7.8397
4.7174, inf, 0.0453, 0.0380, 0.4927, 0.0000, 0.4654, 0.0000, 0.0005, -0.0379, 0.0078, 0.0545, 448.6755, 6.8598
