KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.7045, inf, 0.0952, 0.0368, 0.4974, 0.0000, 0.2032, 0.0000, 0.0011, -0.0804, 0.0163, 0.1164, 422.8292, 7.1390
4.7056, inf, 0.0953, 0.0370, 0.4975, 0.0000, 0.2031, 0.0000, 0.0011, -0.0796, 0.0161, 0.1140, 397.6204, 6.3371
4.7034, inf, 0.0952, 0.0356, 0.4973, 0.0000, 0.2024, 0.0000, 0.0011, -0.0797, 0.0162, 0.1121, 407.7921, 5.6151
4.7104, inf, 0.0953, 0.0361, 0.4986, 0.0000, 0.2041, 0.0000, 0.0010, -0.0778, 0.0160, 0.1114, 452.7984, 7.8678
4.7127, inf, 0.0953, 0.0364, 0.4986, 0.0000, 0.2030, 0.0000, 0.0011, -0.0787, 0.0161, 0.1126, 433.9870, 7.1130
4.7034, inf, 0.0952, 0.0371, 0.4977, 0.0000, 0.2021, 0.0000, 0.0011, -0.0800, 0.0163, 0.1171, 427.0446, 7.4689
4.7071, inf, 0.0953, 0.0375, 0.4974, 0.0000, 0.2025, 0.0000, 0.0010, -0.0789, 0.0162, 0.1156, 411.1393, 8.0099
4.7068, inf, 0.0953, 0.0354, 0.4977, 0.0000, 0.2037, 0.0000, 0.0011, -0.0783, 0.0160, 0.1100, 425.4498, 5.5875
4.7168, inf, 0.0953, 0.0354, 0.4990, 0.0000, 0.2028, 0.0000, 0.0010, -0.0789, 0.0160, 0.1124, 430.2026, 7.0524
4.7090, inf, 0.0953, 0.0357, 0.4978, 0.0000, 0.2024, 0.0000, 0.0010, -0.0778, 0.0161, 0.1110, 410.4049, 6.3641
4.7051, 0.6983, 0.0953, 0.0360, 0.4989, 0.0000, 0.2024, 0.0000, 0.0010, -0.0777, 0.0161, 0.1122, 435.7188, 6.1622
4.7127, inf, 0.0953, 0.0352, 0.4988, 0.0000, 0.2023, 0.0000, 0.0011, -0.0794, 0.0161, 0.1113, 413.3949, 7.0488
4.7046, inf, 0.0952, 0.0365, 0.4976, 0.0000, 0.2031, 0.0000, 0.0011, -0.0794, 0.0163, 0.1145, 422.7309, 6.8694
4.7112, inf, 0.0952, 0.0374, 0.4984, 0.0000, 0.2026, 0.0000, 0.0011, -0.0797, 0.0163, 0.1148, 394.5681, 7.6336
4.7110, inf, 0.0953, 0.0365, 0.4980, 0.0000, 0.2023, 0.0000, 0.0010, -0.0788, 0.0161, 0.1123, 430.4676, 6.4443
4.7077, inf, 0.0953, 0.0356, 0.4981, 0.0000, 0.2028, 0.0000, 0.0010, -0.0783, 0.0160, 0.1116, 418.0690, 6.3591
4.7085, inf, 0.0953, 0.0368, 0.4981, 0.0000, 0.2029, 0.0000, 0.0011, -0.0804, 0.0162, 0.1142, 439.3630, 6.6255
4.7106, inf, 0.0953, 0.0369, 0.4979, 0.0000, 0.2036, 0.0000, 0.0011, -0.0787, 0.0163, 0.1135, 443.0849, 6.8109
4.7155, inf, 0.0953, 0.0353, 0.4989, 0.0000, 0.2038, 0.0000, 0.0010, -0.0772, 0.0158, 0.1095, 406.5081, 6.5269
4.7135, inf, 0.0953, 0.0355, 0.4984, 0.0000, 0.2020, 0.0000, 0.0010, -0.0782, 0.0161, 0.1112, 419.8113, 6.9207
