KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.3115, inf, 0.0920, 0.2156, 0.4969, 0.0000, 0.2573, 0.0000, 0.0040, -0.2786, 0.0265, 0.4604, 76.9006, 10.9297
4.3202, inf, 0.0902, 0.3051, 0.4985, 0.0000, 0.2965, 0.0000, 0.0057, -0.3681, 0.0373, 0.6410, 72.5523, 13.4182
4.3118, inf, 0.0918, 0.2271, 0.4989, 0.0000, 0.2572, 0.0000, 0.0042, -0.2901, 0.0283, 0.4962, 83.2550, 14.5212
4.3153, inf, 0.0907, 0.2885, 0.4986, 0.0000, 0.2927, 0.0000, 0.0052, -0.3514, 0.0339, 0.5877, 72.8274, 12.9188
4.3159, inf, 0.0907, 0.2947, 0.4976, 0.0000, 0.3090, 0.0000, 0.0052, -0.3575, 0.0358, 0.6268, 125.4072, 26.4768
4.3156, inf, 0.0899, 0.3481, 0.4985, 0.0000, 0.3468, 0.0000, 0.0058, -0.4111, 0.0363, 0.6357, 62.9355, 8.0329
4.3233, inf, 0.0911, 0.2743, 0.4983, 0.0000, 0.2603, 0.0000, 0.0048, -0.3373, 0.0331, 0.6200, 95.8466, 19.1517
4.3210, inf, 0.0910, 0.2803, 0.4994, 0.0000, 0.2885, 0.0000, 0.0049, -0.3432, 0.0358, 0.6334, 118.5121, 22.9270
4.3141, inf, 0.0907, 0.2980, 0.4988, 0.0000, 0.2856, 0.0000, 0.0052, -0.3610, 0.0343, 0.6110, 77.5226, 9.4521
4.3078, inf, 0.0916, 0.2398, 0.4980, 0.0000, 0.2858, 0.0000, 0.0044, -0.3027, 0.0294, 0.5127, 87.9466, 16.3294
4.3027, inf, 0.0917, 0.2511, 0.4981, 0.0000, 0.2828, 0.0000, 0.0042, -0.3140, 0.0289, 0.5444, 134.0613, 31.4408
4.3070, inf, 0.0914, 0.2475, 0.4976, 0.0000, 0.2715, 0.0000, 0.0046, -0.3104, 0.0340, 0.5886, 180.6530, 42.0268
4.3112, inf, 0.0907, 0.3117, 0.4974, 0.0000, 0.3206, 0.0000, 0.0052, -0.3746, 0.0337, 0.6236, 73.2819, 12.6946
4.3184, inf, 0.0910, 0.2911, 0.4973, 0.0000, 0.2797, 0.0000, 0.0051, -0.3540, 0.0384, 0.6912, 207.6420, 45.2236
4.3155, inf, 0.0910, 0.2819, 0.4985, 0.0000, 0.2949, 0.0000, 0.0049, -0.3449, 0.0324, 0.5839, 103.0759, 18.6927
4.3098, inf, 0.0911, 0.2927, 0.4976, 0.0000, 0.3087, 0.0000, 0.0048, -0.3557, 0.0327, 0.6325, 128.9905, 28.0709
4.3169, inf, 0.0913, 0.2751, 0.4983, 0.0000, 0.2849, 0.0000, 0.0045, -0.3381, 0.0311, 0.6049, 119.9030, 31.7009
4.3197, inf, 0.0912, 0.2537, 0.4979, 0.0000, 0.2636, 0.0000, 0.0048, -0.3167, 0.0347, 0.6055, 128.3876, 26.7665
4.3152, inf, 0.0922, 0.2071, 0.4986, 0.0000, 0.2485, 0.0000, 0.0038, -0.2701, 0.0279, 0.5049, 127.5793, 24.9615
4.3135, inf, 0.0907, 0.2851, 0.4978, 0.0000, 0.3032, 0.0000, 0.0052, -0.3480, 0.0354, 0.6299, 112.3440, 23.9984
4.3218, inf, 0.0912, 0.2765, 0.4971, 0.0000, 0.2861, 0.0000, 0.0047, -0.3394, 0.0312, 0.5615, 71.6906, 11.6816
