KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.3117, inf, 0.0912, 0.2766, 0.4983, 0.0000, 0.3167, 0.0000, 0.0047, -0.3396, 0.0298, 0.5467, 83.2937, 17.7670
4.3117, inf, 0.0912, 0.2766, 0.4983, 0.0000, 0.3167, 0.0000, 0.0047, -0.3396, 0.0298, 0.5467, 83.2937, 17.7670
4.3105, inf, 0.0912, 0.2766, 0.4980, 0.0000, 0.3175, 0.0000, 0.0047, -0.3396, 0.0298, 0.5468, 83.2939, 17.7555
4.3105, inf, 0.0912, 0.2766, 0.4980, 0.0000, 0.3175, 0.0000, 0.0047, -0.3396, 0.0298, 0.5468, 83.2939, 17.7555
4.3155, inf, 0.0912, 0.2765, 0.4990, 0.0000, 0.3179, 0.0000, 0.0047, -0.3394, 0.0298, 0.5467, 83.2940, 17.7619
4.3155, inf, 0.0912, 0.2765, 0.4990, 0.0000, 0.3179, 0.0000, 0.0047, -0.3394, 0.0298, 0.5467, 83.2940, 17.7619
4.3085, inf, 0.0912, 0.2771, 0.4980, 0.0000, 0.3175, 0.0000, 0.0047, -0.3401, 0.0298, 0.5466, 83.2919, 17.7696
4.3085, inf, 0.0912, 0.2771, 0.4980, 0.0000, 0.3175, 0.0000, 0.0047, -0.3401, 0.0298, 0.5466, 83.2919, 17.7696
4.3119, inf, 0.0912, 0.2762, 0.4988, 0.0000, 0.3157, 0.0000, 0.0047, -0.3392, 0.0298, 0.5469, 83.2916, 17.7463
4.3119, inf, 0.0912, 0.2762, 0.4988, 0.0000, 0.3157, 0.0000, 0.0047, -0.3392, 0.0298, 0.5469, 83.2916, 17.7463
4.3168, inf, 0.0912, 0.2763, 0.4984, 0.0000, 0.3166, 0.0000, 0.0047, -0.3393, 0.0298, 0.5469, 83.2952, 17.7427
4.3168, inf, 0.0912, 0.2763, 0.4984, 0.0000, 0.3166, 0.0000, 0.0047, -0.3393, 0.0298, 0.5469, 83.2952, 17.7427
4.3087, inf, 0.0912, 0.2750, 0.4980, 0.0000, 0.3119, 0.0000, 0.0047, -0.3380, 0.0298, 0.5472, 83.2903, 17.7295
4.3087, inf, 0.0912, 0.2750, 0.4980, 0.0000, 0.3119, 0.0000, 0.0047, -0.3380, 0.0298, 0.5472, 83.2903, 17.7295
4.3141, inf, 0.0912, 0.2720, 0.4976, 0.0000, 0.3053, 0.0000, 0.0047, -0.3350, 0.0298, 0.5485, 83.2936, 17.6165
4.3141, inf, 0.0912, 0.2720, 0.4976, 0.0000, 0.3053, 0.0000, 0.0047, -0.3350, 0.0298, 0.5485, 83.2936, 17.6165
4.3163, inf, 0.0912, 0.2731, 0.4984, 0.0000, 0.3069, 0.0000, 0.0047, -0.3361, 0.0298, 0.5480, 83.2941, 17.6563
4.3163, inf, 0.0912, 0.2731, 0.4984, 0.0000, 0.3069, 0.0000, 0.0047, -0.3361, 0.0298, 0.5480, 83.2941, 17.6563
