KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
5.9188, inf, 0.1005, 0.0320, 0.4984, 0.0000, 0.2456, 0.0000, 0.0011, -0.0839, 0.0152, 0.1036, 216.3976, 2.8508
5.9129, inf, 0.1005, 0.0319, 0.4972, 0.0000, 0.2464, 0.0000, 0.0011, -0.0844, 0.0150, 0.1035, 211.2745, 2.3649
5.9122, inf, 0.1005, 0.0328, 0.4978, 0.0000, 0.2464, 0.0000, 0.0011, -0.0841, 0.0151, 0.1048, 211.3704, 2.4707
5.9163, inf, 0.1005, 0.0320, 0.4981, 0.0000, 0.2471, 0.0000, 0.0011, -0.0841, 0.0150, 0.1037, 208.8289, 2.4836
5.9197, inf, 0.1005, 0.0330, 0.4984, 0.0000, 0.2465, 0.0000, 0.0011, -0.0851, 0.0151, 0.1052, 212.6876, 2.2914
5.9168, inf, 0.1005, 0.0321, 0.4980, 0.0000, 0.2458, 0.0000, 0.0011, -0.0842, 0.0151, 0.1044, 204.4983, 2.6173
5.9215, inf, 0.1005, 0.0323, 0.4985, 0.0000, 0.2460, 0.0000, 0.0011, -0.0832, 0.0149, 0.1024, 209.0105, 2.7621
5.9146, inf, 0.1005, 0.0321, 0.4980, 0.0000, 0.2454, 0.0000, 0.0011, -0.0848, 0.0151, 0.1043, 211.1729, 2.1680
5.9188, inf, 0.1005, 0.0320, 0.4983, 0.0000, 0.2471, 0.0000, 0.0011, -0.0848, 0.0151, 0.1044, 211.7868, 2.4833
5.9156, inf, 0.1005, 0.0330, 0.4975, 0.0000, 0.2461, 0.0000, 0.0011, -0.0844, 0.0152, 0.1053, 214.9193, 2.3209
5.9159, inf, 0.1005, 0.0330, 0.4977, 0.0000, 0.2464, 0.0000, 0.0011, -0.0840, 0.0151, 0.1046, 213.0965, 2.4518
5.9112, inf, 0.1005, 0.0314, 0.4973, 0.0000, 0.2454, 0.0000, 0.0011, -0.0824, 0.0149, 0.1018, 210.1873, 2.5264
5.9084, inf, 0.1005, 0.0322, 0.4978, 0.0000, 0.2457, 0.0000, 0.0011, -0.0833, 0.0150, 0.1046, 208.5837, 2.7644
5.9201, inf, 0.1005, 0.0319, 0.4985, 0.0000, 0.2462, 0.0000, 0.0011, -0.0832, 0.0150, 0.1025, 206.6185, 2.4164
5.9160, inf, 0.1005, 0.0320, 0.4979, 0.0000, 0.2457, 0.0000, 0.0011, -0.0821, 0.0149, 0.1021, 212.7913, 2.6622
5.9110, inf, 0.1005, 0.0316, 0.4978, 0.0000, 0.2458, 0.0000, 0.0011, -0.0828, 0.0149, 0.1023, 211.8665, 2.6464
5.9168, inf, 0.1005, 0.0311, 0.4979, 0.0000, 0.2457, 0.0000, 0.0011, -0.0843, 0.0153, 0.1027, 212.9967, 2.2287
5.9168, inf, 0.1005, 0.0319, 0.4980, 0.0000, 0.2460, 0.0000, 0.0011, -0.0834, 0.0150, 0.1027, 205.5190, 2.4608
5.9222, inf, 0.1005, 0.0311, 0.4982, 0.0000, 0.2461, 0.0000, 0.0011, -0.0836, 0.0150, 0.1020, 208.6354, 2.4463
5.9187, inf, 0.1005, 0.0328, 0.4979, 0.0000, 0.2468, 0.0000, 0.0011, -0.0850, 0.0153, 0.1052, 212.8756, 2.5490
