KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
5.4330, inf, 0.0963, 0.2742, 0.4967, 0.0000, 0.3252, 0.0000, 0.0049, -0.3411, 0.0284, 0.4745, 37.6512, 4.4268
5.4552, inf, 0.0958, 0.3131, 0.4967, 0.0000, 0.3466, 0.0000, 0.0054, -0.3800, 0.0320, 0.5571, 48.6167, 7.8252
5.4227, inf, 0.0964, 0.2728, 0.4972, 0.0000, 0.3112, 0.0000, 0.0049, -0.3397, 0.0288, 0.4919, 42.1443, 5.8390
5.4466, inf, 0.0969, 0.2365, 0.4976, 0.0000, 0.2897, 0.0000, 0.0044, -0.3034, 0.0264, 0.4445, 51.7376, 8.1127
5.4408, inf, 0.0966, 0.2569, 0.4969, 0.0000, 0.3121, 0.0000, 0.0047, -0.3238, 0.0276, 0.4583, 46.2494, 6.5465
5.4279, inf, 0.0965, 0.2666, 0.4977, 0.0000, 0.3164, 0.0000, 0.0047, -0.3334, 0.0286, 0.4989, 57.8535, 9.9236
5.4574, inf, 0.0963, 0.2824, 0.4970, 0.0000, 0.3286, 0.0000, 0.0049, -0.3492, 0.0290, 0.5007, 45.5969, 6.2484
5.4380, inf, 0.0969, 0.2558, 0.4964, 0.0000, 0.3181, 0.0000, 0.0044, -0.3226, 0.0270, 0.4742, 55.8934, 8.2852
5.4447, inf, 0.0963, 0.2759, 0.4977, 0.0000, 0.3368, 0.0000, 0.0050, -0.3428, 0.0288, 0.4755, 43.6819, 6.2403
5.4404, inf, 0.0965, 0.2736, 0.4962, 0.0000, 0.3040, 0.0000, 0.0048, -0.3403, 0.0289, 0.5060, 47.9005, 6.2002
5.4430, inf, 0.0959, 0.2986, 0.4968, 0.0000, 0.3446, 0.0000, 0.0054, -0.3655, 0.0310, 0.5198, 48.1777, 8.4615
5.4478, inf, 0.0966, 0.2718, 0.4962, 0.0000, 0.3066, 0.0000, 0.0047, -0.3387, 0.0285, 0.4980, 45.9454, 5.8057
5.4318, inf, 0.0964, 0.2735, 0.4960, 0.0000, 0.3347, 0.0000, 0.0049, -0.3403, 0.0281, 0.4749, 43.3010, 6.3674
5.4513, inf, 0.0966, 0.2629, 0.4970, 0.0000, 0.2867, 0.0000, 0.0047, -0.3298, 0.0293, 0.5135, 54.2140, 8.1420
5.4413, inf, 0.0961, 0.2772, 0.4973, 0.0000, 0.3152, 0.0000, 0.0052, -0.3440, 0.0309, 0.5130, 48.3736, 7.3357
5.4359, inf, 0.0959, 0.3051, 0.4965, 0.0000, 0.3315, 0.0000, 0.0053, -0.3720, 0.0320, 0.5578, 58.6212, 9.9378
5.4405, inf, 0.0967, 0.2570, 0.4965, 0.0000, 0.3168, 0.0000, 0.0046, -0.3239, 0.0272, 0.4458, 41.4560, 4.6865
5.4386, inf, 0.0968, 0.2612, 0.4980, 0.0000, 0.3040, 0.0000, 0.0045, -0.3281, 0.0269, 0.4729, 45.1689, 5.9538
5.4497, inf, 0.0966, 0.2519, 0.4964, 0.0000, 0.3124, 0.0000, 0.0046, -0.3188, 0.0273, 0.4509, 46.9845, 6.9937
5.4470, inf, 0.0959, 0.2896, 0.4969, 0.0000, 0.3234, 0.0000, 0.0053, -0.3565, 0.0318, 0.5277, 46.1374, 6.9886
5.4600, inf, 0.0955, 0.3114, 0.4976, 0.0000, 0.3480, 0.0000, 0.0057, -0.3783, 0.0325, 0.5308, 48.5486, 8.7456
5.4445, inf, 0.0961, 0.2916, 0.4968, 0.0000, 0.3221, 0.0000, 0.0051, -0.3584, 0.0301, 0.5137, 43.4349, 5.6834
5.4518, inf, 0.0962, 0.2808, 0.4983, 0.0000, 0.3330, 0.0000, 0.0050, -0.3477, 0.0292, 0.4824, 43.2931, 6.0514
5.4385, inf, 0.0970, 0.2412, 0.4970, 0.0000, 0.2922, 0.0000, 0.0043, -0.3080, 0.0263, 0.4673, 52.1163, 9.1374
5.4531, inf, 0.0961, 0.2859, 0.4968, 0.0000, 0.3116, 0.0000, 0.0051, -0.3528, 0.0312, 0.5358, 50.4350, 7.5471
5.4375, inf, 0.0960, 0.2995, 0.4971, 0.0000, 0.3374, 0.0000, 0.0052, -0.3663, 0.0304, 0.5164, 41.8534, 5.3949
5.4310, inf, 0.0958, 0.3043, 0.4964, 0.0000, 0.3456, 0.0000, 0.0054, -0.3712, 0.0310, 0.5133, 40.5939, 5.4054
5.4467, inf, 0.0965, 0.2703, 0.4977, 0.0000, 0.3203, 0.0000, 0.0047, -0.3372, 0.0283, 0.4754, 59.9420, 10.9570
5.4554, inf, 0.0962, 0.2915, 0.4964, 0.0000, 0.3280, 0.0000, 0.0050, -0.3584, 0.0300, 0.5191, 48.3492, 6.7448
5.4375, inf, 0.0965, 0.2624, 0.4963, 0.0000, 0.3128, 0.0000, 0.0047, -0.3293, 0.0282, 0.4851, 48.8672, 8.5217
5.4409, inf, 0.0962, 0.2902, 0.4974, 0.0000, 0.3334, 0.0000, 0.0051, -0.3571, 0.0301, 0.5173, 48.1810, 6.7657
5.4286, inf, 0.0972, 0.2231, 0.4963, 0.0000, 0.2791, 0.0000, 0.0042, -0.2900, 0.0264, 0.4416, 57.6038, 9.0270
5.4442, inf, 0.0961, 0.2831, 0.4964, 0.0000, 0.3309, 0.0000, 0.0051, -0.3500, 0.0299, 0.4940, 42.1383, 5.0802
5.4499, inf, 0.0961, 0.2926, 0.4971, 0.0000, 0.3289, 0.0000, 0.0051, -0.3595, 0.0305, 0.5224, 47.2102, 6.9589
5.4540, inf, 0.0962, 0.2826, 0.4968, 0.0000, 0.3206, 0.0000, 0.0050, -0.3495, 0.0295, 0.4935, 44.0343, 6.0887
5.4502, inf, 0.0962, 0.2843, 0.4960, 0.0000, 0.3309, 0.0000, 0.0050, -0.3512, 0.0296, 0.5010, 45.3554, 6.2694
5.4384, inf, 0.0966, 0.2600, 0.4965, 0.0000, 0.2982, 0.0000, 0.0047, -0.3269, 0.0276, 0.4727, 43.7463, 5.5721
5.4396, inf, 0.0961, 0.2812, 0.4975, 0.0000, 0.3184, 0.0000, 0.0052, -0.3480, 0.0299, 0.4978, 41.4020, 5.6258
5.4336, inf, 0.0967, 0.2588, 0.4962, 0.0000, 0.3114, 0.0000, 0.0046, -0.3257, 0.0272, 0.4596, 44.7855, 5.9365
5.4371, inf, 0.0967, 0.2585, 0.4981, 0.0000, 0.3184, 0.0000, 0.0046, -0.3253, 0.0272, 0.4599, 45.4444, 5.8864
5.4341, inf, 0.0967, 0.2629, 0.4960, 0.0000, 0.3084, 0.0000, 0.0046, -0.3298, 0.0273, 0.4695, 44.8604, 5.8520
5.4454, inf, 0.0960, 0.2929, 0.4972, 0.0000, 0.3290, 0.0000, 0.0052, -0.3598, 0.0311, 0.5235, 43.2129, 5.7435
5.4315, inf, 0.0962, 0.2678, 0.4979, 0.0000, 0.3110, 0.0000, 0.0051, -0.3346, 0.0300, 0.4967, 50.1415, 8.5900
5.4590, inf, 0.0959, 0.3002, 0.4974, 0.0000, 0.3207, 0.0000, 0.0054, -0.3671, 0.0321, 0.5527, 48.9875, 7.9487
5.4382, inf, 0.0962, 0.2840, 0.4977, 0.0000, 0.3127, 0.0000, 0.0051, -0.3509, 0.0306, 0.5301, 47.3693, 7.0964
5.4366, inf, 0.0967, 0.2592, 0.4980, 0.0000, 0.3043, 0.0000, 0.0045, -0.3260, 0.0272, 0.4804, 47.8360, 7.0606
5.4412, inf, 0.0966, 0.2543, 0.4962, 0.0000, 0.3217, 0.0000, 0.0047, -0.3211, 0.0277, 0.4639, 56.1222, 10.2038
5.4462, inf, 0.0967, 0.2449, 0.4969, 0.0000, 0.2887, 0.0000, 0.0046, -0.3118, 0.0285, 0.4796, 52.9337, 8.5280
5.4543, inf, 0.0957, 0.3060, 0.4972, 0.0000, 0.3394, 0.0000, 0.0055, -0.3729, 0.0314, 0.5347, 40.3847, 6.6321
5.4609, inf, 0.0961, 0.2943, 0.4972, 0.0000, 0.3326, 0.0000, 0.0051, -0.3612, 0.0307, 0.5292, 55.6730, 9.8171
5.4613, inf, 0.0961, 0.2962, 0.4982, 0.0000, 0.3334, 0.0000, 0.0051, -0.3631, 0.0299, 0.5199, 43.6650, 6.1879
5.4300, inf, 0.0958, 0.3005, 0.4962, 0.0000, 0.3368, 0.0000, 0.0054, -0.3673, 0.0313, 0.5186, 40.2537, 5.0554
5.4379, inf, 0.0969, 0.2391, 0.4972, 0.0000, 0.2820, 0.0000, 0.0044, -0.3060, 0.0277, 0.4646, 60.6782, 9.4315
5.4365, inf, 0.0964, 0.2679, 0.4972, 0.0000, 0.3115, 0.0000, 0.0049, -0.3348, 0.0287, 0.4913, 43.2028, 6.5483
5.4294, inf, 0.0962, 0.2875, 0.4975, 0.0000, 0.3275, 0.0000, 0.0050, -0.3543, 0.0296, 0.5088, 47.1797, 6.5567
5.4368, inf, 0.0968, 0.2460, 0.4968, 0.0000, 0.3038, 0.0000, 0.0045, -0.3129, 0.0267, 0.4469, 48.0949, 6.9939
5.4395, inf, 0.0964, 0.2752, 0.4963, 0.0000, 0.3217, 0.0000, 0.0049, -0.3420, 0.0284, 0.4938, 46.0827, 7.9311
