KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
5.4427, inf, 0.0962, 0.2894, 0.4974, 0.0000, 0.3141, 0.0000, 0.0050, -0.3561, 0.0311, 0.5438, 57.5803, 8.8310
5.4427, inf, 0.0962, 0.2894, 0.4974, 0.0000, 0.3141, 0.0000, 0.0050, -0.3561, 0.0311, 0.5438, 57.5803, 8.8310
5.4453, inf, 0.0962, 0.2893, 0.4977, 0.0000, 0.3158, 0.0000, 0.0050, -0.3560, 0.0311, 0.5439, 57.5808, 8.8237
5.4453, inf, 0.0962, 0.2893, 0.4977, 0.0000, 0.3158, 0.0000, 0.0050, -0.3560, 0.0311, 0.5439, 57.5808, 8.8237
5.4321, inf, 0.0962, 0.2891, 0.4967, 0.0000, 0.3149, 0.0000, 0.0050, -0.3558, 0.0311, 0.5440, 57.5785, 8.8247
5.4321, inf, 0.0962, 0.2891, 0.4967, 0.0000, 0.3149, 0.0000, 0.0050, -0.3558, 0.0311, 0.5440, 57.5785, 8.8247
5.4452, inf, 0.0962, 0.2893, 0.4981, 0.0000, 0.3154, 0.0000, 0.0050, -0.3559, 0.0311, 0.5439, 57.5819, 8.8274
5.4452, inf, 0.0962, 0.2893, 0.4981, 0.0000, 0.3154, 0.0000, 0.0050, -0.3559, 0.0311, 0.5439, 57.5819, 8.8274
5.4509, inf, 0.0962, 0.2897, 0.4983, 0.0000, 0.3145, 0.0000, 0.0050, -0.3564, 0.0311, 0.5437, 57.5828, 8.8384
5.4509, inf, 0.0962, 0.2897, 0.4983, 0.0000, 0.3145, 0.0000, 0.0050, -0.3564, 0.0311, 0.5437, 57.5828, 8.8384
5.4440, inf, 0.0962, 0.2848, 0.4979, 0.0000, 0.3080, 0.0000, 0.0050, -0.3515, 0.0311, 0.5457, 57.5812, 8.7618
5.4440, inf, 0.0962, 0.2848, 0.4979, 0.0000, 0.3080, 0.0000, 0.0050, -0.3515, 0.0311, 0.5457, 57.5812, 8.7618
5.4464, inf, 0.0962, 0.2854, 0.4976, 0.0000, 0.3093, 0.0000, 0.0050, -0.3521, 0.0311, 0.5455, 57.5820, 8.7707
5.4464, inf, 0.0962, 0.2854, 0.4976, 0.0000, 0.3093, 0.0000, 0.0050, -0.3521, 0.0311, 0.5455, 57.5820, 8.7707
